08:76:ff:87:fe:7e, a4:b1:e9:ed:46:74, a4:b1:e9:44:08:ad, 9c:97:26:9b:94:47, 64:70:02:b2:6c:2a, 00:26:5b:16:bf:09, 00:26:5b:16:bf:08, 00:26:5b:1c:b4:99, 00:1f:9f:ff:37:36, 0c:47:3d:09:df:c8, 0c:47:3d:09:df:c9, x, y
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5
0, 0, -92, -63, -81, -58, -58, 0, 0, 0, 0, 21, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 5
